Date,Asset,Average Dividend Yield,Price Earnings Ratio (P/E),Return on Assets,Total Debt to Total Assets,1-Year Volatility,Year,Ticker
2019-12-31,FAST UW Equity,2.4059,26.6841,22.2119,15.5425,29.552,2019,FAST
2020-12-31,FAST UW Equity,2.1492,32.7718,22.1286,16.3972,38.938,2020,FAST
2015-12-31,FB UW Equity,0.0,81.1318,8.1906,0.2307,25.913,2015,FB
2016-12-30,FB UW Equity,0.0,32.9656,17.8162,0.0,28.014,2016,FB
2017-12-29,FB UW Equity,0.0,28.651,21.2998,0.0,17.206,2017,FB
2018-12-31,FB UW Equity,0.0,17.317,24.3168,0.0,39.192,2018,FB
2019-12-31,FB UW Equity,0.0,25.0629,16.0244,8.0952,29.677,2019,FB
2020-12-31,FB UW Equity,0.0,27.0723,19.9158,7.0156,46.308,2020,FB
2015-12-31,FISV UW Equity,0.0,27.3864,7.6362,45.9636,19.287,2015,FISV
2016-12-30,FISV UW Equity,0.0,26.7496,9.7469,46.8234,17.846,2016,FISV
2017-12-29,FISV UW Equity,0.0,28.3684,12.4401,47.6237,12.427,2017,FISV
2018-12-31,FISV UW Equity,0.0,30.0718,11.0157,52.9124,20.739,2018,FISV
2019-12-31,FISV UW Equity,0.0,38.1135,2.0112,29.2008,23.779,2019,FISV
2020-12-31,FISV UW Equity,0.0,52.3788,1.2592,28.5182,47.288,2020,FISV
2020-12-31,FOXA UW Equity,0.0,11.5763,4.8426,39.1724,49.379,2020,FOXA
2015-12-31,GILD UW Equity,0.0051,8.4929,41.9264,42.6502,32.897,2015,GILD
2016-12-30,GILD UW Equity,1.559,6.6532,24.8424,46.2397,27.217,2016,GILD
2017-12-29,GILD UW Equity,2.5595,9.0548,7.2733,47.7242,21.367,2017,GILD
2018-12-31,GILD UW Equity,2.8322,11.819,8.1443,42.9085,27.895,2018,GILD
2019-12-31,GILD UW Equity,3.4757,12.1583,8.5968,41.0826,22.345,2019,GILD
2020-12-31,GILD UW Equity,3.7002,9.2448,0.1892,46.9499,37.725,2020,GILD
2015-12-31,GOOGL UW Equity,0.0,33.5746,11.8186,3.5399,28.323,2015,GOOGL
2016-12-30,GOOGL UW Equity,0.0,30.1376,12.3686,2.3493,20.486,2016,GOOGL
2017-12-29,GOOGL UW Equity,0.0,30.0982,6.942,2.0117,15.38,2017,GOOGL
2018-12-31,GOOGL UW Equity,0.0,23.9406,14.2929,1.7234,28.321,2018,GOOGL
2019-12-31,GOOGL UW Equity,0.0,27.6831,13.5022,5.7871,24.758,2019,GOOGL
2020-12-31,GOOGL UW Equity,0.0,33.6866,13.5239,8.3763,38.801,2020,GOOGL
2015-12-31,IDXX UW Equity,0.0,34.5592,13.4358,79.3282,34.069,2015,IDXX
2016-12-30,IDXX UW Equity,0.0,47.7535,14.7749,78.6638,25.643,2016,IDXX
2017-12-29,IDXX UW Equity,0.0,53.1905,16.2228,73.6,24.353,2017,IDXX
2018-12-31,IDXX UW Equity,0.0,43.4273,23.1964,65.0656,30.168,2018,IDXX
2019-12-31,IDXX UW Equity,0.0,53.3056,25.3853,58.4143,26.36,2019,IDXX
2020-12-31,IDXX UW Equity,0.0,74.2442,28.1934,38.9672,41.583,2020,IDXX
2015-12-31,ILMN UW Equity,0.0,58.7614,13.136,29.573,37.247,2015,ILMN
2016-12-30,ILMN UW Equity,0.0,39.6415,11.6122,24.5072,52.564,2016,ILMN
2017-12-29,ILMN UW Equity,0.0,52.6764,15.224,22.6745,29.622,2017,ILMN
2018-12-31,ILMN UW Equity,0.0,54.0179,13.5232,28.6967,36.683,2018,ILMN
2019-12-31,ILMN UW Equity,0.0,49.6082,14.0385,25.7108,35.626,2019,ILMN
2020-12-31,ILMN UW Equity,0.0,94.1271,8.8048,25.1285,46.73,2020,ILMN
2015-12-31,INCY UW Equity,0.0,2362.8481,0.7241,61.5315,50.666,2015,INCY
2016-12-30,INCY UW Equity,0.0,164.5783,7.8776,39.7585,47.038,2016,INCY
2017-12-29,INCY UW Equity,0.0,156.5521,-15.8908,1.0424,38.16,2017,INCY
2018-12-31,INCY UW Equity,0.0,72.0296,4.4254,0.6589,44.663,2018,INCY
2019-12-31,INCY UW Equity,0.0,40.8335,14.719,2.1034,32.301,2019,INCY
2020-12-31,INCY UW Equity,0.0,40.6184,-8.4634,1.7332,42.773,2020,INCY
2015-12-31,INTC UW Equity,2.8134,14.7425,11.7149,21.9958,24.661,2015,INTC
2016-12-30,INTC UW Equity,2.899,15.8331,9.5345,22.3098,23.13,2016,INTC
2017-12-29,INTC UW Equity,2.776,16.5415,8.1166,21.7551,17.122,2017,INTC
2018-12-31,INTC UW Equity,2.2078,10.6902,16.7611,20.5989,34.024,2018,INTC
2019-12-31,INTC UW Equity,2.353,13.6825,15.9161,21.6453,28.005,2019,INTC
2020-12-31,INTC UW Equity,2.3273,10.7665,14.4323,24.1216,54.173,2020,INTC
2015-12-31,INTU UW Equity,0.7866,53.3832,7.1787,10.0644,27.273,2015,INTU
2016-12-30,INTU UW Equity,0.9455,38.0914,21.2411,23.5294,20.165,2016,INTU
2017-12-29,INTU UW Equity,0.8976,42.2133,23.347,11.9961,17.618,2017,INTU
2018-12-31,INTU UW Equity,0.7023,39.8573,28.885,8.5314,28.036,2018,INTU
2019-12-31,INTU UW Equity,0.6146,44.3815,27.2751,6.9394,25.259,2019,INTU
2020-12-31,INTU UW Equity,0.6319,54.8165,21.2153,33.2632,47.213,2020,INTU
2015-12-31,ISRG UW Equity,0.0,34.9839,13.2812,0.0,22.538,2015,ISRG
