Date,Asset,Average Dividend Yield,Price Earnings Ratio (P/E),Return on Assets,Total Debt to Total Assets,1-Year Volatility,Year,Ticker
2017-12-29,ROST UW Equity,0.8493,24.1054,24.7068,6.9375,23.066,2017,ROST
2018-12-31,ROST UW Equity,0.7527,19.5305,26.9158,5.1442,27.424,2018,ROST
2019-12-31,ROST UW Equity,0.8891,25.3087,21.5396,37.3103,22.074,2019,ROST
2020-12-31,ROST UW Equity,1.0615,158.5558,0.7739,45.0767,58.093,2020,ROST
2015-12-31,SBUX UW Equity,1.0489,35.2717,23.8023,18.9066,22.675,2015,SBUX
2016-12-30,SBUX UW Equity,1.2046,29.2574,21.0702,25.1384,20.345,2016,SBUX
2017-12-29,SBUX UW Equity,1.4885,28.0751,20.1059,27.3751,17.559,2017,SBUX
2018-12-31,SBUX UW Equity,1.8389,23.9195,23.4583,39.0791,23.548,2018,SBUX
2019-12-31,SBUX UW Equity,1.6437,30.9754,16.5954,58.1021,19.966,2019,SBUX
2020-12-31,SBUX UW Equity,1.8266,91.2774,3.8206,85.9889,45.781,2020,SBUX
2020-12-31,SGEN UW Equity,0.0,51.9703,19.7742,1.8654,47.658,2020,SGEN
2015-12-31,SIRI UW Equity,0.0,38.8956,6.2102,67.7098,18.271,2015,SIRI
2016-12-30,SIRI UW Equity,0.0,27.4995,9.295,73.0703,19.917,2016,SIRI
2017-12-29,SIRI UW Equity,0.003,27.8615,7.9337,80.9947,21.477,2017,SIRI
2018-12-31,SIRI UW Equity,0.6398,21.4394,14.2514,84.28,26.382,2018,SIRI
2019-12-31,SIRI UW Equity,0.7387,31.3268,9.4608,74.8587,22.407,2019,SIRI
2020-12-31,SIRI UW Equity,0.8366,29.3159,1.2196,86.7802,43.483,2020,SIRI
2015-12-31,SNPS UW Equity,0.0,29.1009,4.6009,4.0628,21.393,2015,SNPS
2016-12-30,SNPS UW Equity,0.0,32.1201,5.1881,3.9119,18.231,2016,SNPS
2017-12-29,SNPS UW Equity,0.0,37.8694,2.5678,2.6682,15.672,2017,SNPS
2018-12-31,SNPS UW Equity,0.0,31.0454,7.4944,7.636,24.628,2018,SNPS
2019-12-31,SNPS UW Equity,0.0,38.0211,8.4832,2.1499,25.57,2019,SNPS
2020-12-31,SNPS UW Equity,0.0,58.5821,9.2045,8.2626,42.947,2020,SNPS
2015-12-31,SWKS UW Equity,0.2511,15.9119,23.8541,0.0,38.852,2015,SWKS
2016-12-30,SWKS UW Equity,0.9292,14.7758,26.2766,0.0,39.29,2016,SWKS
2017-12-29,SWKS UW Equity,1.0618,15.695,23.9696,0.0,26.796,2017,SWKS
2018-12-31,SWKS UW Equity,1.2713,10.5662,19.5352,0.0,33.189,2018,SWKS
2019-12-31,SWKS UW Equity,1.6311,18.0398,17.6573,0.0,36.481,2019,SWKS
2020-12-31,SWKS UW Equity,1.2977,29.202,16.384,3.5032,56.435,2020,SWKS
2015-12-31,TCOM UW Equity,0.0,42.296,3.3406,26.1395,53.458,2015,TCOM
2016-12-30,TCOM UW Equity,0.0,39.1158,-1.0869,28.7631,34.361,2016,TCOM
2017-12-29,TCOM UW Equity,0.0,74.6525,1.4055,28.0671,24.398,2017,TCOM
2018-12-31,TCOM UW Equity,0.0,27.9958,0.639,32.3721,40.592,2018,TCOM
2019-12-31,TCOM UW Equity,0.0,28.9101,3.6327,25.5984,42.735,2019,TCOM
2020-12-31,TCOM UW Equity,0.0,26.8492,-1.6762,30.6597,50.039,2020,TCOM
2016-12-30,TEAM UW Equity,0.0,1180.3055,-3.7369,0.0,47.426,2016,TEAM
2017-12-29,TEAM UW Equity,0.0,1180.3055,-6.1221,33.8437,35.605,2017,TEAM
2018-12-31,TEAM UW Equity,0.0,1180.3055,-23.6196,28.6699,46.277,2018,TEAM
2019-12-31,TEAM UW Equity,0.0,1180.3055,-10.2063,29.6284,40.019,2019,TEAM
2020-12-31,TEAM UW Equity,0.0,1180.3055,-10.2063,29.6284,45.036,2020,TEAM
2016-12-30,TMUS UW Equity,0.0,51.3652,2.2758,46.1474,28.116,2016,TMUS
2017-12-29,TMUS UW Equity,0.0,25.3915,6.6484,43.8034,22.735,2017,TMUS
2018-12-31,TMUS UW Equity,0.0,18.4143,4.0383,41.5411,25.205,2018,TMUS
2019-12-31,TMUS UW Equity,0.0,17.0402,4.3516,48.704,21.377,2019,TMUS
2020-12-31,TMUS UW Equity,0.0,33.82,2.1346,53.5801,40.827,2020,TMUS
2020-12-31,TSLA UW Equity,0.0,972.8736,1.6679,25.3663,90.022,2020,TSLA
2015-12-31,TXN UW Equity,2.3106,18.1039,17.7728,25.3851,27.028,2015,TXN
2016-12-30,TXN UW Equity,2.2532,20.865,22.014,21.9646,21.506,2016,TXN
2017-12-29,TXN UW Equity,1.9635,23.9821,21.6124,23.1096,16.249,2017,TXN
2018-12-31,TXN UW Equity,2.0094,16.7229,32.0883,29.5734,30.959,2018,TXN
2019-12-31,TXN UW Equity,2.2916,24.4481,28.5422,34.0493,27.638,2019,TXN
2020-12-31,TXN UW Equity,2.4747,28.7068,29.9446,36.7888,43.288,2020,TXN
2015-12-31,VRSK UW Equity,0.0,29.2989,12.7875,56.2365,23.887,2015,VRSK
2016-12-30,VRSK UW Equity,0.0,30.7021,11.5639,51.5417,17.244,2016,VRSK
2017-12-29,VRSK UW Equity,0.0,34.4211,10.4229,49.9776,15.499,2017,VRSK
2018-12-31,VRSK UW Equity,0.0,30.4141,10.0448,46.1553,19.967,2018,VRSK
2019-12-31,VRSK UW Equity,0.0027,40.1252,6.9453,48.1872,17.049,2019,VRSK
2020-12-31,VRSK UW Equity,0.5843,48.6927,9.7517,46.6053,38.747,2020,VRSK
2015-12-31,VRSN UW Equity,0.0,30.3972,17.6213,79.2998,21.401,2015,VRSN
2016-12-30,VRSN UW Equity,0.0,22.3097,18.7816,79.9698,25.498,2016,VRSN
2017-12-29,VRSN UW Equity,0.0,30.8945,17.3339,81.9446,13.785,2017,VRSN
2018-12-31,VRSN UW Equity,0.0,33.4988,23.992,93.2381,30.085,2018,VRSN
2019-12-31,VRSN UW Equity,0.0,37.4644,32.4955,96.9122,21.824,2019,VRSN
2020-12-31,VRSN UW Equity,0.0,30.7993,45.01,101.9497,39.923,2020,VRSN
2017-12-29,VRTX UW Equity,0.0,86.5244,8.1792,1.2134,37.257,2017,VRTX
2018-12-31,VRTX UW Equity,0.0,19.1885,42.8291,0.3991,33.661,2018,VRTX
2019-12-31,VRTX UW Equity,0.0,47.8794,16.1601,8.0924,28.091,2019,VRTX
2020-12-31,VRTX UW Equity,0.0,28.8274,27.0215,8.0197,47.295,2020,VRTX
2015-12-31,WBA UW Equity,1.5056,18.3964,7.9599,20.911,28.045,2015,WBA
2016-12-30,WBA UW Equity,1.6927,20.5327,5.8995,26.1776,21.152,2016,WBA
2017-12-29,WBA UW Equity,1.8486,16.0138,5.8804,19.5958,18.504,2017,WBA
2018-12-31,WBA UW Equity,2.1858,12.7612,7.4911,21.1335,27.889,2018,WBA
2019-12-31,WBA UW Equity,2.86,11.613,5.8679,26.983,28.714,2019,WBA
2020-12-31,WBA UW Equity,4.2306,9.9353,0.5893,47.2549,48.815,2020,WBA
2018-12-31,XEL UW Equity,3.0946,19.9474,2.8332,37.6889,18.01,2018,XEL
2019-12-31,XEL UW Equity,2.5933,24.0492,2.8454,40.6914,15.289,2019,XEL
2020-12-31,XEL UW Equity,2.4455,24.1551,2.8217,41.1587,39.665,2020,XEL
2015-12-31,XLNX UW Equity,2.6557,22.9222,11.3378,32.7655,24.529,2015,XLNX
2016-12-30,XLNX UW Equity,2.5248,26.1177,13.0235,30.6205,24.362,2016,XLNX
2017-12-29,XLNX UW Equity,2.0577,25.6054,9.468,33.8625,21.658,2017,XLNX
2018-12-31,XLNX UW Equity,1.9019,24.5789,17.4258,23.9706,36.385,2018,XLNX
2019-12-31,XLNX UW Equity,1.3535,30.3083,16.1046,27.8361,42.022,2019,XLNX
2020-12-31,XLNX UW Equity,1.495,43.9482,16.1046,27.8361,48.995,2020,XLNX
2020-12-31,ZM UW Equity,0.0,148.2995,20.4108,2.0011,83.001,2020,ZM
